"idCompany","is.sme","is.startup","is.fem","is.young","yearsInBusiness","staffTurnover","staffBalance","StockAll","totAssets","totEquity","totIntang","accounts","debts","ammort","deprec","prod","revenues","personnel","valCost","profLoss","valAdded","noi"
11,"0","0","1","0",59.2356164383562,33,1,24,2244578,84661,351982,1123238,1766385,167960,302860,3589623,3578453,1190933,45825,-46369,1539618,45825
26,"0","0","0","0",54.586301369863,4,0,12,5819910,839111,194411,1288329,4388746,97436,120729,2140129,9719890,976349,97216,46150,1194294,97216
32,"0","0","0","0",55.3616438356164,36,8,34,3285050,583739,30823,1373726,1679403,13269,199741,4103116,3882106,1290737,351509,224386,1841987,351509
51,"0","0","0","0",43.4493150684931,16,-4,30,8674610,1714233,85075,1865511,4716605,14349,290767,9226334,8823392,1221681,277304,16607,1789752,277304
59,"0","0","0","0",73.5698630136986,38,4,86,33425008,12101205,295865,9995540,16730587,86876,280974,22707905,20870985,5986850,2386899,1678722,8654723,2386899
82,"0","0","0","0",56.7479452054795,3,1,7,2262018,1288490,6847,5232,351412,2282,33669,184762,32104,24681,21471,-9213,79821,21471
85,"0","0","0","0",56.0383561643836,1,1,11,2749729,1614482,41059,425491,731982,1864,127921,2329292,2270423,539804,133100,95091,800825,133100
124,"0","0","0","0",94.041095890411,4,-4,17,6805770,3683532,1748,3769085,2217351,5121,143810,7824086,7377547,1073321,-382705,-322110,834426,-382705
143,"0","0","0","0",73.5808219178082,8,0,17,7179343,1798891,24694,3747955,4619209,7873,113866,7920718,7468784,887920,182131,6703,1183917,182131
195,"0","0","0","0",57.6684931506849,8,-2,13,6215881,948806,1612174,1301372,2364319,72334,266560,2789204,2565394,674579,194286,75858,1135425,194286
228,"0","0","0","0",58.6493150684932,2,0,7,952105,402956,900,337112,323563,300,29122,560580,503143,252752,28452,3376,310326,28452
229,"0","0","0","0",53.8904109589041,45,7,150,44559484,20640260,783078,21123494,18305452,227980,1757573,34074048,32003053,7030231,264107,-2862870,9051911,264107
231,"0","0","0","0",55.0383561643836,160,18,682,295201000,215144000,0,63413000,50207000,0,26763000,181707000,176585000,29192000,18139000,16560000,74094000,18139000
245,"0","0","0","0",46.7041095890411,1,-1,11,2930241,2411845,854,955052,309804,4658,66371,2804068,2750399,473955,1126883,1087416,1667209,1126883
294,"0","0","0","0",88.4794520547945,157,21,767,400572998,144138924,27933197,97612296,123072944,7712286,27208271,439982060,427179893,72212472,36980462,20968816,136401205,36980462
383,"0","0","0","0",95.6630136986301,5,5,54,13248674,6481332,57035,2802513,5126583,27281,343934,12308449,12447870,2398554,439256,384696,3181744,439256
412,"0","0","0","0",66.0301369863014,34,2,89,16203909,12845546,25728,1614741,1938002,18200,1267044,15490007,15029551,4233543,2100558,1777341,7601145,2100558
413,"0","0","0","0",66.5506849315069,81,7,100,14859808,2634167,72343,3463109,4549691,69838,353197,13843739,14915616,3205235,-1454781,-1329915,2103651,-1454781
446,"0","0","1","0",50.213698630137,28,2,65,31207459,8921348,590312,5749308,7185270,75965,1045552,11783084,11447536,4585582,-556614,-666881,5074520,-556614
453,"0","0","0","0",51.8986301369863,1,1,190,91149753,15426157,6315590,13852185,54314565,1811835,3580987,46814913,42006676,7991076,-56132,-708399,11515931,-56132
456,"0","0","0","0",55.5506849315069,19,1,58,44043648,33665345,80622,4303696,7281221,31868,283858,11090304,9017435,3212235,569760,1702389,4065853,569760
464,"0","0","0","0",54.6684931506849,30,0,25,10569956,1046484,3396,2504747,5000796,8302,390818,8557979,7966146,1177381,132528,42849,1700727,132528
481,"0","0","0","0",53.972602739726,56,2,79,29660118,2392738,185714,8246512,23267492,379362,1829370,43334710,43081534,4346530,-919285,-1243246,5256615,-919285
486,"0","0","0","0",56.3369863013699,71,-1,147,22547936,8459529,175726,8468528,9301656,20691,770175,21228862,20795131,5327400,995651,606669,7093226,995651
489,"0","0","1","0",59.4794520547945,1,1,9,1453659,811952,11168,501797,334987,1399,60828,1259127,1179227,422580,26376,17102,509784,26376
495,"0","0","0","0",63.9671232876712,261,-5,966,166096218,29691297,3731070,98863253,119465724,1523920,7701156,361057069,332321190,63992621,23546666,16334859,95240443,23546666
497,"0","0","0","0",48.1369863013699,23,3,72,6736999,3201571,70922,2556961,2778369,30649,341768,8984261,8717421,2818986,166005,145828,3326759,166005
498,"0","0","0","0",58.3123287671233,5,1,24,3210042,1179061,0,456783,782661,0,107123,2180700,2261098,1001647,-145357,-45864,963413,-145357
531,"0","0","0","0",53.9534246575342,188,10,278,53438716,22987362,13675,18589059,22250240,19841,1257136,70159515,68149810,13956047,402421,365819,15615604,402421
533,"0","0","0","0",58.1698630136986,7,-3,14,5874242,2007589,306665,510860,2450886,1498,83500,1181017,1394830,692926,-508951,-597634,267475,-508951
550,"0","0","0","0",57.7315068493151,23,-7,19,3709700,1036913,1107892,649517,2187549,63053,159187,1713857,1986999,1325369,-1997342,-2031416,-512786,-1997342
554,"0","0","0","0",49.1397260273973,4,0,86,10624485,4804985,12800,3019961,3715922,3561,200479,12641880,12379653,2911213,394125,270913,3505817,394125
556,"0","0","0","0",58.1260273972603,85,9,223,119854399,62513708,496360,38001801,40818753,202674,2425331,96034180,95251519,14475734,5758039,4426066,22659104,5758039
558,"0","0","0","0",56.0383561643836,19,1,51,16948823,3103424,0,5402286,4311205,0,787336,9121077,9099758,1980958,298822,137100,3067116,298822
561,"0","0","0","0",56.8931506849315,23,1,166,118543719,68596712,113884,16079592,17506600,84233,864174,33665358,31399875,8895641,390703,1145725,10150518,390703
564,"0","0","0","0",54.4931506849315,221,1,355,71739000,39160000,725000,14524000,23059000,158000,5413000,76692000,72968000,16063000,1951000,2904000,23427000,1951000
566,"0","0","0","0",102.575342465753,8,2,25,9652880,7466910,23348,2426952,1205856,15661,114157,7842742,7430356,1082479,573516,455686,1770152,573516
567,"0","0","1","0",53.786301369863,3,-1,10,1247543,857622,0,477260,266175,0,17944,864647,886472,381659,7892,3524,407495,7892
570,"0","0","0","0",54.8794520547945,11,-9,38,13147157,6552447,5000,4604245,3580582,5429,351536,9526809,9498342,1949169,-375030,-513533,1925675,-375030
583,"0","0","0","0",59.2739726027397,1,-1,9,785570,76561,804,453936,519492,487,5992,1241564,1284141,238885,-43589,-49249,201288,-43589
599,"0","0","0","0",49.1671232876712,53,1,69,16631844,8944337,104123,3724512,5752126,55181,851141,18480809,18266054,3592878,1291014,927759,5735033,1291014
641,"0","0","1","0",61.8794520547945,1,-1,3,366141,-227707,88,81818,440510,44,2608,214685,219647,83802,3053,-20844,89463,3053
651,"0","0","0","0",53.2821917808219,3,-1,29,10071130,3631697,0,1984390,3645728,0,399148,5679799,5625403,1238534,158442,57983,1796124,158442
663,"0","0","0","0",59.8191780821918,4,0,14,1474618,576937,2940,720850,622275,2967,65665,1723606,1741097,435237,60839,37568,561741,60839
667,"0","0","0","0",58.5068493150685,8,0,17,2519235,505343,0,150807,640668,0,28083,1500810,1515966,576213,48471,17344,652767,48471
706,"0","0","1","0",58.041095890411,8,-2,10,2175836,819280,2304,269828,664929,618,32014,841256,826970,326072,42060,-4721,400146,42060
708,"0","0","0","0",51.2876712328767,3,-3,2,642392,113190,0,74590,391863,0,19893,334819,308560,136949,7206,175,164048,7206
747,"0","0","0","0",53.7041095890411,26,4,28,2282588,280543,35441,602040,1168332,22353,39280,3300094,3155144,1089914,98113,67787,1227307,98113
758,"0","0","0","0",53.1917808219178,18,2,35,4587614,641015,955,2290118,2934696,763,198387,7357365,7224221,2036952,238071,32126,2473410,238071
760,"0","0","0","0",27.8109589041096,3,-1,12,3988692,3124350,10341,1462161,621344,1149,378372,3460468,3455598,477549,1813313,1313374,2669234,1813313
799,"0","0","0","0",57.7068493150685,5,5,138,43700257,35972300,433243,8387991,6775519,49903,432485,34980933,32702564,5124665,10114980,8014806,15672130,10114980
813,"0","0","1","0",51.9013698630137,7,-1,26,2495643,1014442,20080,454090,703495,5662,178498,1763631,1670050,934955,-79304,-63449,1034149,-79304
817,"0","0","0","0",62.4630136986301,1,-1,8,1385638,791011,0,200999,252417,1227,58968,1153597,1124479,180044,145886,100631,384898,145886
820,"0","0","0","0",50.4602739726027,25,1,99,22738812,10943922,412146,4568402,9017864,76740,475209,14494273,14295292,4771487,1155521,844201,6402217,1155521
825,"0","0","0","0",56.1068493150685,24,0,279,72816491,54128122,578887,50597894,17486644,192598,2540695,123050742,119742918,12096280,9133714,6562778,23770689,9133714
884,"0","0","0","0",48.5616438356164,10,2,21,4663669,1179580,100941,1823435,3152305,21807,75692,6821237,6703897,693906,129950,52382,899548,129950
891,"0","0","0","0",57.3150684931507,22,-2,59,21403830,11900344,78119,2102760,8665346,29446,605041,11634638,8631928,3569545,123227,-10966,4297813,123227
894,"0","0","0","0",59.3753424657534,34,-2,46,15590842,557599,630,9756201,14435632,630,108815,6150103,5973631,1964791,152660,103778,2226266,152660
930,"0","0","1","0",48.2027397260274,33,3,44,9013921,3646166,1633,2299935,4486639,817,218822,9053212,8989365,2617025,240502,132204,3076349,240502
953,"0","0","0","0",47.9068493150685,149,1,56,10166065,3973212,323916,4405323,4220035,60121,586176,12661905,12516279,3032159,887072,598329,4505407,887072
962,"0","0","0","0",50,11,-1,28,4683520,971468,24865,1090953,1571345,59410,530604,4721262,4655287,1515826,124820,126160,2171250,124820
963,"1","0","0","0",48.2027397260274,12,4,30,6320235,1113523,564620,2280724,3438671,59882,192618,5801396,4934149,1315693,-107672,-125031,1400639,-107672
988,"0","0","0","0",47.7232876712329,8,2,8,11016461,3108950,46648,3599773,7628340,65,668198,15595536,15534999,371161,709532,373692,1748891,709532
1015,"0","0","0","0",47.5232876712329,67,1,241,28083065,12309527,241029,10088845,14283228,30821,1987935,44425547,44327158,11072058,5110305,3979790,18170298,5110305
1024,"0","0","0","0",47.5369863013699,10,-2,17,1685793,988427,0,813805,432506,0,56386,1748924,1743944,435824,210952,136092,703162,210952
1039,"0","0","0","0",55.7917808219178,8,-2,25,2638356,765525,8816,1071057,1345840,6562,89985,3372552,3373392,705423,43341,27974,838749,43341
1049,"0","0","0","0",47.0328767123288,34,6,74,20324834,6078313,4789,6902481,11498590,3340,822345,31227235,31793214,2562646,907260,545255,4292251,907260
1051,"0","0","0","0",44.9753424657534,16,-2,85,18240000,6665730,153063,3652470,9946514,42393,678253,12149032,10470449,3421362,-712533,-530840,3387082,-712533
1100,"0","0","0","0",46.9095890410959,20,2,21,1744581,542511,125,1185322,936037,36,37536,4048978,4108934,716309,275483,180087,1029328,275483
1168,"0","0","0","0",46.3671232876712,10,0,13,1488973,650851,0,538651,590539,0,58499,1279065,1229000,353410,51363,41094,463272,51363
1176,"0","0","0","0",48.0739726027397,14,0,34,8598852,5075053,1225025,1787717,2195888,50758,131440,6930694,6761057,1775332,1317707,904291,3224479,1317707
1177,"0","0","0","0",46.2821917808219,98,-24,379,67572253,14136054,404406,3653573,29858357,181806,4630034,62093698,59031284,16888894,2435302,1875484,23954231,2435303
1232,"0","0","0","0",69.7890410958904,8,2,12,2660396,246946,420,565994,2272604,210,8276,1858584,1626707,320725,-60463,-75024,268538,-60463
1236,"0","0","0","0",30.0219178082192,204,8,492,185991058,71852882,112642,14787201,85458416,87167,3562737,126200468,125935656,21988855,167999,8768786,25719591,167999
1245,"0","0","0","0",84.2301369863014,7,-3,39,9481258,1935637,468474,1086350,4211649,234692,423924,7567767,7095071,1698331,-276911,-260945,1845344,-276911
